,name,rating,reviews,salary,interviews,jobs,discription,years_old
0,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
1,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
2,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
3,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
4,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
5,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
6,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
7,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
8,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
9,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
10,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
11,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
12,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
13,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
14,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
15,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
16,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
17,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
18,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
19,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
20,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
21,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
22,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
23,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
24,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
25,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
26,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
27,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
28,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
29,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
30,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
31,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
32,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
33,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
34,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
35,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
36,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
37,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
38,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
39,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
40,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
41,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
42,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
43,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
44,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
45,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
46,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
47,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
48,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
49,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
50,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
51,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
52,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
53,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
54,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
55,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
56,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
57,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
58,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
59,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
60,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
61,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
62,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
63,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
64,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
65,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
66,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
67,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
68,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
69,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
70,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
71,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
72,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
73,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
74,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
75,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
76,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
77,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
78,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
79,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
80,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
81,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
82,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
83,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
84,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
85,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
86,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
87,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
88,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
89,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
90,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
91,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
92,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
93,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
94,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
95,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
96,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
97,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
98,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
99,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
100,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
101,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
102,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
103,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
104,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
105,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
106,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
107,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
108,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
109,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
110,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
111,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
112,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
113,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
114,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
115,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
116,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
117,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
118,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
119,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
120,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
121,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
122,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
123,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
124,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
125,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
126,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
127,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
128,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
129,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
130,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
131,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
132,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
133,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
134,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
135,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
136,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
137,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
138,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
139,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
140,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
141,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
142,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
143,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
144,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
145,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
146,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
147,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
148,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
149,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
150,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
151,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
152,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
153,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
154,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
155,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
156,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
157,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
158,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
159,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
160,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
161,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
162,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
163,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
164,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
165,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
166,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
167,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
168,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
169,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
170,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
171,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
172,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
173,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
174,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
175,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
176,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
177,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
178,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
179,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
180,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
181,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
182,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
183,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
184,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
185,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
186,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
187,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
188,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
189,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
190,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
191,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
192,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
193,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
